current_yaw,target_angle,model_output
-3.036949297,0.308893564,-1
-3.002839418,0.308612322,-1
-2.972992791,0.3083127,-1
-2.948688769,0.308123811,-1
-2.919694102,0.307813403,-1
-2.89197821,0.30756508,-1
-2.864261919,0.307308447,-1
-2.834413143,0.306989526,-1
-2.802431789,0.306673688,-1
-2.770449888,0.306354609,-1
-2.73974675,0.306101895,-1
-2.707763787,0.305777714,-1
-2.674500918,0.305381282,-1
